id,dim_1,dim_2,dim_3,box_type,price_25,price_100,price_250,price_500,price_1000
S-4060,4.0,4.0,6.0,200 lb. Test,0.37,0.37,0.37,0.37,0.37
S-4061,4.0,6.0,6.0,200 lb. Test,0.43,0.43,0.43,0.43,0.43
S-4245,4.0,4.0,8.0,200 lb. Test,0.43,0.43,0.43,0.43,0.43
S-15027,2.0,6.0,8.0,200 lb. Test,0.43,0.43,0.43,0.43,0.43
S-4062,6.0,6.0,6.0,200 lb. Test,0.45,0.45,0.45,0.45,0.45
S-4080,4.0,6.0,8.0,200 lb. Test,0.46,0.46,0.46,0.46,0.46
S-20491,2.0,4.0,6.0,200 lb. Test,0.47,0.43,0.41,0.37,0.36
S-4466,4.0,4.0,10.0,200 lb. Test,0.54,0.54,0.54,0.54,0.54
S-4101,4.0,6.0,10.0,200 lb. Test,0.58,0.58,0.58,0.58,0.58
S-4307,2.0,6.0,6.0,200 lb. Test,0.6,0.54,0.47,0.46,0.43
S-4081,6.0,6.0,8.0,200 lb. Test,0.6,0.6,0.6,0.6,0.6
S-4102,6.0,6.0,10.0,200 lb. Test,0.61,0.61,0.61,0.61,0.61
S-4116,4.0,4.0,12.0,200 lb. Test,0.61,0.61,0.61,0.61,0.61
S-4127,4.0,6.0,12.0,200 lb. Test,0.63,0.63,0.63,0.63,0.63
S-4082,4.0,8.0,8.0,200 lb. Test,0.65,0.65,0.65,0.65,0.65
S-4128,6.0,6.0,12.0,200 lb. Test,0.65,0.65,0.65,0.65,0.65
S-4084,8.0,8.0,8.0,200 lb. Test,0.66,0.66,0.66,0.66,0.66
S-4310,4.0,8.0,10.0,200 lb. Test,0.66,0.66,0.66,0.66,0.66
S-4103,6.0,8.0,10.0,200 lb. Test,0.7,0.7,0.7,0.7,0.7
S-4104,8.0,8.0,10.0,200 lb. Test,0.72,0.72,0.72,0.72,0.72
S-4346,4.0,10.0,10.0,200 lb. Test,0.72,0.72,0.72,0.72,0.72
S-4121,6.0,8.0,12.0,200 lb. Test,0.72,0.72,0.72,0.72,0.72
S-4527,4.0,6.0,14.0,200 lb. Test,0.72,0.72,0.72,0.72,0.72
S-4138,6.0,6.0,14.0,200 lb. Test,0.72,0.72,0.72,0.72,0.72
S-4083,6.0,8.0,8.0,200 lb. Test,0.75,0.75,0.75,0.75,0.75
S-4107,6.0,10.0,10.0,200 lb. Test,0.75,0.75,0.75,0.75,0.75
S-19042,2.0,8.0,8.0,200 lb. Test,0.76,0.73,0.7,0.69,0.66
S-4129,8.0,8.0,12.0,200 lb. Test,0.82,0.82,0.82,0.82,0.82
S-4105,10.0,10.0,10.0,200 lb. Test,0.84,0.84,0.84,0.84,0.84
S-4601,2.0,8.0,10.0,200 lb. Test,0.89,0.8,0.73,0.7,0.68
S-11372,2.0,6.0,12.0,200 lb. Test,0.91,0.8,0.7,0.69,0.64
S-4119,4.0,10.0,12.0,200 lb. Test,0.92,0.92,0.92,0.92,0.92
S-4130,6.0,10.0,12.0,200 lb. Test,0.94,0.94,0.94,0.94,0.94
S-4215,4.0,12.0,12.0,200 lb. Test,0.94,0.94,0.94,0.94,0.94
S-4120,8.0,10.0,12.0,200 lb. Test,0.96,0.96,0.96,0.96,0.96
S-4233,6.0,10.0,14.0,200 lb. Test,0.96,0.96,0.96,0.96,0.96
S-4240,6.0,6.0,24.0,200 lb. Test,0.96,0.96,0.96,0.96,0.96
S-4122,6.0,12.0,12.0,200 lb. Test,0.99,0.99,0.99,0.99,0.99
S-13298,4.0,4.0,14.0,200 lb. Test,0.99,0.87,0.8,0.73,0.69
S-4143,8.0,10.0,14.0,200 lb. Test,0.99,0.99,0.99,0.99,0.99
S-4123,10.0,10.0,12.0,200 lb. Test,1.0,1.0,1.0,1.0,1.0
S-14276,4.0,4.0,18.0,200 lb. Test,1.0,0.95,0.85,0.75,0.69
S-15052,4.0,4.0,16.0,200 lb. Test,1.02,0.92,0.85,0.76,0.73
S-4157,6.0,10.0,16.0,200 lb. Test,1.02,1.02,1.02,1.02,1.02
S-4942,2.0,10.0,10.0,200 lb. Test,1.04,0.99,0.84,0.73,0.7
S-19085,2.0,6.0,14.0,200 lb. Test,1.04,0.91,0.84,0.8,0.7
S-4117,4.0,8.0,12.0,200 lb. Test,1.05,0.98,0.85,0.76,0.73
S-12601,4.0,4.0,20.0,200 lb. Test,1.05,1.0,0.87,0.8,0.75
S-4124,8.0,12.0,12.0,200 lb. Test,1.06,1.06,1.06,1.06,1.06
S-4144,10.0,10.0,14.0,200 lb. Test,1.06,1.06,1.06,1.06,1.06
S-4499,8.0,8.0,20.0,200 lb. Test,1.06,1.06,1.06,1.06,1.06
S-16737,4.0,8.0,14.0,200 lb. Test,1.1,1.02,0.92,0.87,0.8
S-4990,4.0,6.0,16.0,200 lb. Test,1.1,1.04,0.95,0.85,0.8
S-4154,4.0,6.0,18.0,200 lb. Test,1.1,1.02,0.95,0.85,0.76
S-4178,6.0,6.0,18.0,200 lb. Test,1.11,1.04,0.98,0.87,0.8
S-14274,4.0,8.0,16.0,200 lb. Test,1.18,1.05,0.99,0.92,0.82
S-4126,10.0,12.0,12.0,200 lb. Test,1.19,1.19,1.19,1.19,1.19
S-4472,4.0,4.0,24.0,200 lb. Test,1.19,1.1,1.04,1.0,0.89
S-4132,4.0,4.0,36.0,200 lb. Test,1.23,1.23,1.23,1.23,1.23
S-4363,4.0,12.0,16.0,200 lb. Test,1.23,1.23,1.23,1.23,1.23
S-16710,8.0,10.0,10.0,200 lb. Test,1.24,1.04,1.0,0.87,0.82
S-4137,6.0,8.0,14.0,200 lb. Test,1.24,1.1,1.0,0.98,0.95
S-4348,6.0,6.0,16.0,200 lb. Test,1.24,1.1,1.04,0.95,0.85
S-4980,2.0,10.0,12.0,200 lb. Test,1.25,1.11,1.0,0.98,0.92
S-4969,6.0,12.0,16.0,200 lb. Test,1.25,1.25,1.25,1.25,1.25
S-4530,8.0,12.0,14.0,200 lb. Test,1.29,1.29,1.29,1.29,1.29
S-4140,6.0,14.0,14.0,200 lb. Test,1.29,1.29,1.29,1.29,1.29
S-4235,8.0,12.0,16.0,200 lb. Test,1.29,1.29,1.29,1.29,1.29
S-4155,6.0,8.0,16.0,200 lb. Test,1.3,1.11,1.08,0.98,0.89
S-4561,2.0,12.0,12.0,200 lb. Test,1.31,1.18,1.05,1.0,0.98
S-4639,6.0,6.0,20.0,200 lb. Test,1.31,1.19,1.1,1.04,0.95
S-22696,4.0,4.0,26.0,200 lb. Test,1.35,1.25,1.19,1.13,1.04
S-19840,4.0,8.0,18.0,200 lb. Test,1.36,1.25,1.08,1.05,0.99
S-4691,8.0,8.0,14.0,200 lb. Test,1.37,1.19,1.1,1.04,0.98
S-13299,2.0,10.0,14.0,200 lb. Test,1.37,1.22,1.05,1.02,0.99
S-4160,10.0,12.0,16.0,200 lb. Test,1.42,1.42,1.42,1.42,1.42
S-4937,6.0,6.0,22.0,200 lb. Test,1.42,1.3,1.12,1.1,1.0
S-14290,4.0,6.0,24.0,200 lb. Test,1.42,1.25,1.18,1.1,1.0
S-4146,8.0,14.0,14.0,200 lb. Test,1.43,1.43,1.43,1.43,1.43
S-4313,6.0,8.0,18.0,200 lb. Test,1.44,1.3,1.11,1.08,1.02
S-18362,4.0,8.0,20.0,200 lb. Test,1.44,1.33,1.25,1.1,1.07
S-4187,6.0,12.0,18.0,200 lb. Test,1.45,1.45,1.45,1.45,1.45
S-4492,4.0,10.0,14.0,200 lb. Test,1.46,1.3,1.08,1.04,1.0
S-4156,8.0,8.0,16.0,200 lb. Test,1.46,1.3,1.11,1.08,1.0
S-4695,4.0,12.0,14.0,200 lb. Test,1.47,1.37,1.14,1.11,1.05
S-4649,4.0,10.0,22.0,200 lb. Test,1.47,1.33,1.14,1.1,1.04
S-4944,4.0,10.0,16.0,200 lb. Test,1.48,1.33,1.1,1.07,1.04
S-4840,4.0,10.0,20.0,200 lb. Test,1.48,1.42,1.31,1.18,1.1
S-4904,6.0,8.0,24.0,200 lb. Test,1.48,1.42,1.31,1.18,1.1
S-4163,12.0,12.0,16.0,200 lb. Test,1.51,1.51,1.51,1.51,1.51
S-16758,6.0,8.0,20.0,200 lb. Test,1.51,1.4,1.24,1.14,1.1
S-4640,6.0,10.0,20.0,200 lb. Test,1.51,1.46,1.37,1.24,1.12
S-21037,4.0,4.0,28.0,200 lb. Test,1.51,1.4,1.33,1.3,1.18
S-4536,6.0,16.0,16.0,200 lb. Test,1.53,1.53,1.53,1.53,1.53
S-4189,10.0,12.0,18.0,200 lb. Test,1.53,1.53,1.53,1.53,1.53
S-4938,6.0,6.0,26.0,200 lb. Test,1.53,1.46,1.33,1.19,1.12
S-20535,4.0,8.0,24.0,200 lb. Test,1.55,1.46,1.36,1.24,1.12
S-4147,10.0,14.0,14.0,200 lb. Test,1.57,1.57,1.57,1.57,1.57
S-4181,12.0,12.0,18.0,200 lb. Test,1.57,1.57,1.57,1.57,1.57
S-4135,6.0,6.0,36.0,200 lb. Test,1.58,1.58,1.58,1.58,1.58
S-20492,8.0,8.0,18.0,200 lb. Test,1.59,1.48,1.31,1.19,1.11
S-4724,4.0,10.0,18.0,200 lb. Test,1.59,1.46,1.31,1.14,1.05
S-4987,6.0,12.0,14.0,200 lb. Test,1.61,1.48,1.31,1.24,1.12
S-23313,8.0,10.0,16.0,200 lb. Test,1.61,1.46,1.25,1.22,1.1
S-4397,8.0,14.0,18.0,200 lb. Test,1.61,1.61,1.61,1.61,1.61
S-4542,6.0,14.0,20.0,200 lb. Test,1.65,1.65,1.65,1.65,1.65
S-4469,8.0,10.0,20.0,200 lb. Test,1.67,1.58,1.48,1.37,1.3
S-4452,6.0,6.0,28.0,200 lb. Test,1.67,1.53,1.47,1.37,1.25
